spu_code,buyer,DE,ES,FR,IT,GB,US,MX
S240805005215,吴斐,1729480524436576890,1729483334706371194,1729547862350469754,1729483341908646522,1729423918933642874,1729580872261931642,1732149176768562810
S240805007601,陈家琪,1729485669695461681,1729485669680388401,1729485669301655857,1729485670245701937,1729426860954062129,1729628118119321905,1731489313762542897
S240806000737,郑川粤,1729493815061224232,1729493816118123304,1729493816842230568,1729493815806237480,1729424115383766824,1729584187851051816,1732263513510872872
S240806001869,李泳乐,1729482687080995800,1729482696801754072,1729482694895639512,1729482696611634136,1729424729400446936,1729595073558385624,1732065523199412184
S240806002308,刘雪莹,1729480604535855941,1729480603585911621,1729480603261508421,1729480603632245573,1729424728207167301,1729595075466138437,1731706651456735045
S240806002322,刘雪莹,1729480525311941445,1729480582805691205,1729480585144408901,1729480524489071429,1729424729161502533,1729595106355155781,1732027630965131077
S240806002397,刘雪莹,1729480807785929541,1729480807600069445,1729480807515921221,1729480808387681093,1729424715245719365,1729595057908650821,1731973284969613125
S240806002402,刘雪莹,1729496358442801989,1729496358351379269,1729496356794964805,1729496358880975685,1729424880057225029,1729868936614941509,1736142816238995269
S240806002860,任思宁,1729480017844607484,1729480016353073660,1729480017708227068,1729480017957722620,1729424303366835708,1729587350197146108,1731885495667755516
S240806003643,张天一,1729483683830208986,1729483679600712154,1729483680089020890,1729483682891340250,1729425660901756378,1729609727488332250,1735242945631389146
S240806005224,阮梓颖,1729496958500706458,1729496956863355034,1729496957830011034,1729496955710904474,1729426404878552218,1729621057492127898,1732091586237924506
S240806005565,阮梓颖,1729497263315130522,1729497262948259994,1729497261070588058,1729497261069867162,1729425749892369562,1729611403809296538,1731284304379282586
S240806006302,李泳乐,1729480149218990916,1729480147656612676,1729480149072780100,1729480147582229316,1729424966825512772,1729599189697401668,1732076014279494468
S240806007401,张天一,1729480518938303401,1729480470150421417,1729480474752818089,1729480520136432553,1729426701360402345,1729625035268330409,1732299060494305193
S240806008945,魏冰馨,1729480652809541648,1729480653611571216,1729481749741213712,1729480652490250256,1729425675423747088,1729609816978984976,1735529601341293584
S240807000226,常捷,1729494061350951497,1729494079080405577,1729494079316662857,1729494071011023433,1729425193428029001,1729603074765525577,1731770219661265481
S240807000301,常捷,1729492232978012745,1729492234785299017,1729492235187034697,1729492233713523273,1729424302056312393,1729587351608332873,1731764376733452873
S240807000466,常捷,1729480566628653641,1729480566755334729,1729480566282558025,1729480566735084105,1729425211845217865,1729603253853327945,1731764380695562825
S240807000498,常捷,1729505173308283465,1729505172541774409,1729505173327747657,1729505172495309385,1729424723320213065,1729595059970085449,1731791308934318665
S240807005451,王谍,1729480686493079600,1729480684858939440,1729480687835846704,1729480684993157168,1729424725204700208,1729595060419072048,1731758675043452976
S240807008577,张天一,1729495582935652415,1729495580043089983,1729495580040468543,1729495582054127679,1729424725252017215,1729595068919418943,1731760208378234943
S240808000446,任思宁,1729483758178703606,1729483755958212854,1729483755830155510,1729483758884460790,1729425527713664246,1729607758702612726,1732027576930632950
S240808004032,郑川粤,1729486908171524316,1729486907894307036,1729486908821903580,1729486908798048476,1729425661989260508,1729609730960298204,1731979307459183836
S240808005775,徐熙雅,1729627311913474204,1729627311913605276,1729627311913736348,1729627312177780892,1729427190411005084,1729868929620676764,1736053052532229276
S240808006868,魏冰馨,1729503062393789311,1729503062092192639,1729503065676225407,1729503062112574335,1729424207942881151,1729585732711060351,
S240808007221,常捷,1729480335726647438,1729480339095459982,1729480337014102158,1729480337840969870,1729424504422829198,1729590850257260686,1731769699853764750
S240808007537,吴斐,1729480122222745694,1729480121010002014,1729480120510355550,1729480120898918494,1729425514224258142,1729607598586040414,1731765366141257822
S240808008821,张宇,1729480595800037705,1729480595764975945,1729480595697604937,1729480596316395849,1729424849744399689,1729597293490049353,1731769658619038025
S240808008873,常捷,1729495434694989957,1729495434698397829,1729495434629585029,1729495433872382085,1729425111487384709,1729601318866555013,1731770284423219333
S240808008903,常捷,1729569455912884357,1729495539432200325,1729495540025170053,1729569455892830341,1729425070583024773,1729601282060554373,
S240809004393,刘雪莹,1729514817277565765,1729482590486043461,1729480047469894469,1729480045397646149,1729425672965820229,1729609810061333317,1733138042148980549
S240809005104,刘雪莹,1729480099521993541,1729480100544551749,1729480100011940677,1729480099201522501,1729425517827034949,1729607629121950533,1731846234007373637
S240809008822,黄依婷,1729482562661620481,1729482560429464321,1729482557205289729,1729482561870863105,1729426353667018497,1729620598847607553,1734536835774449409
S240809009067,李秋虹,1729494275499923630,1729493425540733102,1729525108518983854,1729494275270547630,1729489268734597294,1729611318996799662,1733115364733977774
S240810002118,任思宁,1729480572541639379,1729480488177081043,1729480574918105811,1729480572755417811,1729427442490117843,1729642153245643475,1731758741768866515
S240810004257,魏冰馨,1729489654489652078,1729489654934772590,1729489655522761582,1729489655680637806,1729425109568098158,1729601699151582062,1734749246972659566
S240810006587,王可心,1729497528128477350,1729482760494880934,1729482757128886438,1729482760016861350,1729426302577380518,1729619783060197542,1731997048877844646
S240811001140,魏冰馨,1729503062626048895,1729503062813612927,1729503062673169279,1729503065269836671,1729424297560805247,1729587218668557183,
S240811003735,吴斐,1729625502238349946,1729625502713027194,1729625502271511162,1729625502297070202,1729424191985979002,1729585549761090170,1732378599224018554
S240812000104,常捷,1729489296799865417,1729489297857616457,1729489298811558473,1729489297976891977,1729425520011284041,1729607660647584329,1731767242799090249
S240812000115,常捷,1729497408139729481,1729497397666421321,1729497413377563209,1729497397913688649,1729425675146726985,1729609810101965385,1731773965146229321
S240812000120,常捷,1729509870063098441,1729509870074174025,1729509875307354697,1729509870026660425,1729425520114044489,1729607661978358345,1731756709267081801
S240812000134,常捷,1729491339200076361,1729491339180022345,1729491339981658697,1729491338894744137,1729425519851441737,1729607649409798729,1731766801255270985
S240812000878,张天一,1729571045318302548,1729571042626804564,1729571045806545748,1729571045203286868,1729424497504653140,1729590758659560276,1731768078943161172
S240812002699,郑川粤,1729482686668445923,1729482687237822691,1729482687357556963,1729482695217551587,1729426005510032611,1729616158756016355,1731972091351041251
S240812002983,郑川粤,1729480042553514204,1729480042105772252,1729480043035007196,1729480041440778460,1729425908604898524,1729614164802965724,1731707907156706524
S240812003853,郑川粤,1729480547301628124,1729480552087787740,1729480549877782748,1729480551468800220,1729426343241419996,1729620373189005532,
S240812003985,李泳乐,1729480550706092868,1729480553960479556,1729480553889700676,1729480553504217924,1729425638491787076,1729609516239000388,1731764456946830148
S240812005978,王可心,1729480595790862502,1729480596644468902,1729480596748802214,1729480596054055078,1729426450503077030,1729621949366636710,1731764459085007014
S240812006132,魏冰馨,1729480369206434378,1729480370356001354,1729480369254079050,1729480330005944906,1729428565042433610,1729675082790507082,1732197695286183498
S240812006441,王谍,1729482869885868953,1729482871872789401,1729482871154842521,1729482870785678233,1729426697768243097,1729625003279618969,1731759596256398233
S240812006529,陈家琪,1729486781357005240,1729486780476856760,1729486773178898872,1729486780029180344,1729425243287489976,1729603096429367736,1734018731141989816
